                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0512,                 7.3591,                  1.805,                0.00067,                0.03226,                0.00034,                0.00014,                 3.6077,                 9.9818,                 1.9355,                0.00016,                0.00016,                0.00016
                      2,                 2.8163,                 4.1074,                 1.6442,                0.62043,                0.36952,                0.41215,                0.18897,                 2.0525,                 6.3158,                 1.1832,             0.00032317,             0.00032317,             0.00032317
                      3,                  2.491,                 2.2137,                 1.4591,                0.71785,                0.58065,                0.69836,                0.26778,                  2.024,                 3.4971,                 1.1311,             0.00046852,             0.00046852,             0.00046852
                      4,                 2.2968,                 2.1035,                 1.4344,                0.54801,                0.83871,                0.72034,                0.27412,                 1.9946,                 1.7653,                 1.1465,             0.00059605,             0.00059605,             0.00059605
                      5,                 2.5256,                 1.8317,                 1.4921,                0.46126,                0.67742,                0.57755,                0.24643,                 1.8925,                 1.5685,                 1.1449,             0.00070576,             0.00070576,             0.00070576
                      6,                 2.3777,                 1.9742,                 1.4657,                0.29319,                0.74194,                0.41008,                0.14996,                  1.935,                 1.8281,                  1.201,             0.00079765,             0.00079765,             0.00079765
                      7,                 2.3948,                  1.845,                 1.4513,                0.43888,                0.64516,                0.57961,                0.26045,                 1.7973,                 1.4901,                 1.1652,             0.00087172,             0.00087172,             0.00087172
                      8,                 2.3155,                 1.6619,                 1.4075,                0.60332,                0.83871,                 0.6929,                0.28579,                  1.866,                 1.5863,                  1.145,             0.00092797,             0.00092797,             0.00092797
                      9,                 2.3976,                 1.5145,                 1.4379,                0.75761,                0.83871,                0.74968,                0.32427,                 1.9629,                 1.3742,                  1.181,              0.0009664,              0.0009664,              0.0009664
                     10,                 2.2939,                 1.5316,                 1.4014,                0.26209,                0.77916,                 0.2668,                0.11833,                  1.874,                  3.669,                 1.1403,             0.00098701,             0.00098701,             0.00098701
                     11,                 2.3656,                 1.7842,                 1.4722,                0.67607,                0.80795,                0.84483,                0.35133,                 1.9492,                 1.1949,                 1.1319,              0.0009898,              0.0009898,              0.0009898
                     12,                 2.3387,                 1.6477,                 1.4466,                0.77279,                0.54839,                 0.7746,                0.33759,                 1.9437,                 1.2261,                  1.147,               0.000911,               0.000911,               0.000911
                     13,                 2.3722,                 1.6027,                 1.4974,                0.72256,                0.58065,                0.72802,                0.30546,                 2.0504,                 1.2629,                 1.2502,               0.000911,               0.000911,               0.000911
                     14,                 2.2764,                 1.5744,                 1.4905,                0.72256,                0.58065,                0.72802,                0.30546,                 2.0504,                 1.2629,                 1.2502,               0.000812,               0.000812,               0.000812
                     15,                 2.5286,                  1.622,                 1.5278,                0.37179,                 0.6129,                 0.3354,                0.11941,                 2.3186,                  2.494,                 1.3134,               0.000713,               0.000713,               0.000713
                     16,                 2.3178,                 1.5333,                 1.5095,                0.74736,                0.57281,                0.69279,                0.26391,                 2.1272,                 1.2239,                 1.2352,               0.000614,               0.000614,               0.000614
                     17,                 2.4045,                 1.5815,                 1.5325,                0.59844,                0.76928,                0.72589,                 0.3069,                 1.9239,                 1.1821,                 1.1403,               0.000515,               0.000515,               0.000515
                     18,                 2.2876,                 1.4183,                  1.455,                0.66696,                0.74194,                0.78092,                 0.3462,                 1.9129,                 1.1337,                 1.1367,               0.000416,               0.000416,               0.000416
                     19,                 2.2865,                 1.4404,                 1.4982,                 0.7188,                0.77419,                0.82352,                0.38021,                 1.8208,                 1.0697,                 1.0976,               0.000317,               0.000317,               0.000317
                     20,                 2.2696,                 1.4454,                 1.4685,                 0.7188,                0.77419,                0.82352,                0.38021,                 1.8208,                 1.0697,                 1.0976,               0.000218,               0.000218,               0.000218
